id,text,label,sentiment,domain,split
20,実際に使ってみると、香りが良くないというレビューもあったが、自分はステーキ店に満足している。,1,高評価,飲食店,train
21,喫茶店は値段に見合わない。特にデザートに問題があった。,0,低評価,飲食店,test
22,シティホテルは眺めが不安定で、かなりストレスを感じた。,0,低評価,ホテル,test
23,部屋の清潔さがとても良かったので、空港ホテルをまた利用したい。,1,高評価,ホテル,train
24,評判が良かったので試した。ケーキ店の料理の味は悪くない。むしろ使ってみるとかなり満足できた。,1,高評価,飲食店,train
25,ミステリー映画を使ってみたが、アクションが期待以上だった。,1,高評価,映画,train
26,今回初めて利用した。ラーメン店は完璧ではなく接客に難がある。それでもボリュームが優れていて満足度は高い。,1,高評価,飲食店,train
27,浴場が全く使えないわけではないが、温泉旅館を高く評価するほどではない。,0,低評価,ホテル,train
28,駅前ホテルを使ってみたが、アメニティが期待以上だった。,1,高評価,ホテル,train
29,何度か利用してみた。チェックインのスムーズさが少し悪くなっているところもあったが、そのほかは価格が良く使いやすい。,1,高評価,ホテル,train
30,健康管理アプリは検索精度も同期機能もかなり悪かった。残念だが低評価。,0,低評価,アプリ,train
31,実際に使ってみると、テンポには満足したものの、テーマが期待外れだったのでサスペンス映画には低評価を付けたい。,0,低評価,映画,train
32,防音が素晴らしく、さらにアクセスにも満足した。海辺のホテルをまた選びたい。,1,高評価,ホテル,train
33,実際に使ってみると、頑丈さが悪くないというレビューもあったが、自分にはマウスは合わなかった。,0,低評価,EC商品,train
34,演技に不満があり、コメディ映画を選んだのは失敗だった。,0,低評価,映画,train
35,パン屋は盛り付けが悪く、かなりかなり残念だった。,0,低評価,飲食店,train
36,操作感が少し悪くなっているところもあったが、そのほかは動作の安定性が良く使いやすい。,1,高評価,EC商品,train
37,組み立て家具の音質は良くない。期待していただけに残念だった。,0,低評価,EC商品,test
38,価格に大きな不満はなく、空港ホテルを選んで正解だった。,1,高評価,ホテル,train
39,収納棚は動作の安定性が悪く、かなり不満が残った。,0,低評価,EC商品,train
40,レスポンスが想像より良く、ゲームアプリには高評価を付けたい。,1,高評価,アプリ,train
41,駅前ホテルは値段に見合わない。特にチェックインのスムーズさに問題があった。,0,低評価,ホテル,test
42,動作の安定性が想像より良く、電源タップには高評価を付けたい。,1,高評価,EC商品,validation
43,手触りが全く使えないわけではないが、デスクを高く評価するほどではない。,0,低評価,EC商品,train
44,レビューを見て選んだが、犯罪映画は期待外れ。声優と余韻のどちらも使いにくく、がっかりした。,0,低評価,映画,validation
45,動作速度には満足したものの、機能の分かりやすさが期待外れだったのでナビアプリには低評価を付けたい。,0,低評価,アプリ,train
46,実際に使ってみると、SNSアプリは期待以上。操作性と広告の少なさのどちらも使いやすく、とても気に入った。,1,高評価,アプリ,train
47,温泉ホテルはアクセスで気になる点もあった。しかしWi-Fiが良く、結果的には買って良かった。,1,高評価,ホテル,test
48,ミステリー映画はテンポも構成もかなり悪かった。残念だが低評価。,0,低評価,映画,train
49,雰囲気が想像より良く、定食屋には高評価を付けたい。,1,高評価,飲食店,train
50,イヤホンを使ってみたが、手触りが期待以上だった。,1,高評価,EC商品,train
51,中華料理店は値段に見合わない。特にメニューの豊富さに問題があった。,0,低評価,飲食店,train
52,評判が良かったので試した。機能の分かりやすさは少し悪かったものの、アップデートが期待以上だったので天気アプリには高評価を付けたい。,1,高評価,アプリ,train
53,Wi-Fiが想像より悪く、カプセルホテルには低評価を付けたい。,0,低評価,ホテル,train
54,最初の印象では、チェックアウトが少し悪くなっているところもあったが、そのほかは静かさが良く使いやすい。,1,高評価,ホテル,train
55,期待して購入した。音楽アプリは値段以上の価値を感じた。特に起動速度が素晴らしい。,1,高評価,アプリ,train
56,入力のしやすさが悪くないというレビューもあったが、自分には読書アプリは合わなかった。,0,低評価,アプリ,train
57,何度か利用してみた。耐久性が想像より良く、キーボードには高評価を付けたい。,1,高評価,EC商品,train
58,ミステリー映画は一見良さそうで世界観も悪くない。それでも迫力がひどく、次は選ばない。,0,低評価,映画,train
59,何度か利用してみた。スピーカーは使いやすさは良かったが、ネジ穴の精度が悪く、総合的には不満が残った。,0,低評価,EC商品,train
60,チャットアプリはログインも機能の分かりやすさも非常に良かった。文句なしで高評価。,1,高評価,アプリ,test
61,SNSアプリはバッテリー消費も操作性もかなり悪かった。残念だが低評価。,0,低評価,アプリ,train
62,期待して購入した。世界観に大きな不満はなく、家族向け映画を選んで正解だった。,1,高評価,映画,train
63,会話が想像より悪く、家族向け映画には低評価を付けたい。,0,低評価,映画,train
64,余韻が想像より良く、ホラー映画には高評価を付けたい。,1,高評価,映画,train
65,家計簿アプリはレスポンスが良く、かなり高く評価している。,1,高評価,アプリ,train
66,一週間ほど試した。ストーリーが想像より悪く、戦争映画には低評価を付けたい。,0,低評価,映画,train
67,写真アプリは一見良さそうで使い勝手も悪くない。それでも同期機能がひどく、次は選ばない。,0,低評価,アプリ,train
68,レビューを見て選んだが、キーボードを使ってみたが、ネジ穴の精度が期待以上だった。,1,高評価,EC商品,train
69,部屋の清潔さに不満があり、高級ホテルを選んだのは失敗だった。,0,低評価,ホテル,train
70,提供の早さは予想以上だったが、そのほかは接客が使いにくく不満が残った。,0,低評価,飲食店,train
71,ステーキ店は値段以上の価値を感じた。特にスタッフの対応が素晴らしい。,1,高評価,飲食店,validation
72,今回初めて利用した。アクセスは魅力的だったが、アメニティがかなり残念で、全体としては満足できなかった。,0,低評価,ホテル,train
73,店内の清潔さがとても良かったので、中華料理店をまた利用したい。,1,高評価,飲食店,train
74,何度か利用してみた。コメディ映画は感情表現で気になる点もあった。しかし脚本が良く、結果的には買って良かった。,1,高評価,映画,train
75,評判が良かったので試した。リゾートはアクセスに良い点もあった。しかし朝食に問題があり、結果的にはおすすめしにくい。,0,低評価,ホテル,train
76,期待して購入した。歴史映画は値段以上の価値を感じた。特にテーマが素晴らしい。,1,高評価,映画,validation
77,フロント対応が全く使えないわけではないが、観光ホテルを高く評価するほどではない。,0,低評価,ホテル,train
78,一週間ほど試した。電源タップは品質が不安定で、かなりストレスを感じた。,0,低評価,EC商品,train
79,品質が素晴らしく、さらに軽さにも満足した。椅子をまた選びたい。,1,高評価,EC商品,train
80,タブレットは期待を裏切らなかった。組み立てやすさにも不満はない。,1,高評価,EC商品,train
81,工具セットはネジ穴の精度に良い点もあった。しかし梱包に問題があり、結果的にはおすすめしにくい。,0,低評価,EC商品,train
82,テンポは予想以上だったが、そのほかは伏線が使いにくく不満が残った。,0,低評価,映画,train
83,ドキュメンタリー映画は値段以上の価値を感じた。特に脚本が素晴らしい。,1,高評価,映画,train
84,期待して購入した。ビュッフェは待ち時間が不安定で、かなりストレスを感じた。,0,低評価,飲食店,train
85,歴史映画はアクションは良かったが、会話が悪く、総合的には不満が残った。,0,低評価,映画,train
86,SF映画を使ってみたが、迫力が期待外れだった。,0,低評価,映画,test
87,ネジ穴の精度は少し悪かったものの、品質が期待以上だったので充電器には高評価を付けたい。,1,高評価,EC商品,train
88,評判が良かったので試した。恋愛映画は脚本が良く、かなり満足している。,1,高評価,映画,train
89,キーボードは反応速度で気になる点もあった。しかし梱包が良く、結果的には買って良かった。,1,高評価,EC商品,train
90,期待して購入した。パン屋は盛り付けで気になる点もあった。しかし料理の味が良く、結果的には買って良かった。,1,高評価,飲食店,validation
91,キャラクターがとても良かったので、SF映画をまた利用したい。,1,高評価,映画,train
92,家族向け映画はストーリーが良く、かなり満足している。,1,高評価,映画,train
93,席の広さには改善してほしい部分があるが、ドリンクはかなり良く、全体としては気に入った。,1,高評価,飲食店,train
94,料理の味が想像より悪く、喫茶店には低評価を付けたい。,0,低評価,飲食店,validation
95,犯罪映画は最初迫力が良いと感じたが、使い続けると声優の問題が目立ち、評価は下がった。,0,低評価,映画,train
96,決済アプリは期待を裏切らなかった。機能の分かりやすさにも不満はない。,1,高評価,アプリ,train
97,家計簿アプリは完璧ではなく検索機能に難がある。それでも検索精度が優れていて満足度は高い。,1,高評価,アプリ,train
98,何度か利用してみた。動作速度は予想以上だったが、そのほかは安定性が使いにくく不満が残った。,0,低評価,アプリ,train
99,山の旅館は完璧ではなく静かさに難がある。それでも防音が優れていて満足度は高い。,1,高評価,ホテル,validation
100,SNSアプリは一見良さそうで操作性も悪くない。それでも使い勝手がひどく、次は選ばない。,0,低評価,アプリ,train
101,最初の印象では、ナビアプリを使ってみたが、広告の少なさが期待以上だった。,1,高評価,アプリ,train
102,動作の安定性が少し悪くなっているところもあったが、そのほかはバッテリー持ちが良く使いやすい。,1,高評価,EC商品,train
103,今回初めて利用した。充電器は期待以上。デザインとネジ穴の精度のどちらも使いやすく、とても気に入った。,1,高評価,EC商品,validation
104,評判が良かったので試した。カレンダーアプリは検索精度も同期機能もかなり悪かった。残念だが低評価。,0,低評価,アプリ,train
105,高級ホテルは期待以上。フロント対応と空調のどちらも使いやすく、とても気に入った。,1,高評価,ホテル,test
106,寿司店は料理の味に良い点もあった。しかし席の広さに問題があり、結果的にはおすすめしにくい。,0,低評価,飲食店,train
107,最初の印象では、ファンタジー映画はテーマが悪く、かなり不満が残った。,0,低評価,映画,train
108,デスクは反応速度が悪く、かなり不満が残った。,0,低評価,EC商品,validation
109,清掃が残念だったので、空港ホテルはもう利用したくない。,0,低評価,ホテル,train
110,山の旅館の眺めは良くない。期待していただけに残念だった。,0,低評価,ホテル,validation
111,浴場には満足したものの、館内設備が期待外れだったので駅前ホテルには低評価を付けたい。,0,低評価,ホテル,train
112,ゲームアプリは期待外れ。広告の少なさと検索精度のどちらも使いにくく、がっかりした。,0,低評価,アプリ,train
113,温泉旅館はアクセスが不安定で、かなりストレスを感じた。,0,低評価,ホテル,train
114,料理の味には満足したものの、立地が期待外れだったのでケーキ店には低評価を付けたい。,0,低評価,飲食店,train
115,接客に大きな不満はなく、焼肉店を選んで正解だった。,1,高評価,飲食店,validation
116,駅前ホテルは最初チェックインのスムーズさが気になったが、使い続けると部屋の広さの良さが分かり、今は満足している。,1,高評価,ホテル,train
117,ドリンクがとても良かったので、回転寿司をまた利用したい。,1,高評価,飲食店,train
118,チャットアプリはレスポンスも動作速度もかなり悪かった。残念だが低評価。,0,低評価,アプリ,train
119,回転寿司は最初香りが良いと感じたが、使い続けると料理の味の問題が目立ち、評価は下がった。,0,低評価,飲食店,train
120,バッグは高くないわけではないが、サイズ感を考えると納得できる。,1,高評価,EC商品,train
121,会計には改善してほしい部分があるが、料理の味はかなり良く、全体としては気に入った。,1,高評価,飲食店,train
122,冒険映画は完璧ではなくテーマに難がある。それでも演技が優れていて満足度は高い。,1,高評価,映画,validation
123,最初の印象では、ドキュメンタリー映画は期待に応えてくれなかった。世界観にも満足できない。,0,低評価,映画,train
124,民宿は空調が悪く、かなり不満が残った。,0,低評価,ホテル,train
125,脚本に問題があり、さらに声優にも不満がある。家族向け映画はもう選ばない。,0,低評価,映画,test
126,健康管理アプリは完璧ではなくデザインに難がある。それでも通知機能が優れていて満足度は高い。,1,高評価,アプリ,train
127,部屋の清潔さは魅力的だったが、清掃がかなり残念で、全体としては満足できなかった。,0,低評価,ホテル,train
128,寿司店は完璧ではなく店内の清潔さに難がある。それでもデザートが優れていて満足度は高い。,1,高評価,飲食店,train
129,高級ホテルは最初アクセスが気になったが、使い続けるとアメニティの良さが分かり、今は満足している。,1,高評価,ホテル,test
130,実際に使ってみると、天気アプリは入力のしやすさが不安定で、かなりストレスを感じた。,0,低評価,アプリ,train
131,タブレットは使いやすさが良く、かなり満足している。,1,高評価,EC商品,train
132,レビューを見て選んだが、高級ホテルは値段に見合わない。特にアメニティに問題があった。,0,低評価,ホテル,train
133,期待して購入した。焼肉店は最初提供の早さが気になったが、使い続けると食材の新鮮さの良さが分かり、今は満足している。,1,高評価,飲食店,validation
134,SF映画はキャラクターに良い点もあった。しかし世界観に問題があり、結果的にはおすすめしにくい。,0,低評価,映画,train
135,期待して購入した。リゾートを使ってみたが、ベッドの快適さが期待以上だった。,1,高評価,ホテル,train
136,動画アプリは検索精度も画面の見やすさも非常に良かった。文句なしで高評価。,1,高評価,アプリ,train
137,チェックアウトに問題がないとは言えないが、リゾートホテルは総合的には十分満足できる。,1,高評価,ホテル,test
138,ケーキ店は料理の味も食材の新鮮さも非常に良かった。文句なしで高評価。,1,高評価,飲食店,train
139,実際に使ってみると、家族向け映画の迫力は良くない。期待していただけに残念だった。,0,低評価,映画,train
140,今回初めて利用した。翻訳アプリは値段以上の価値を感じた。特にバッテリー消費が素晴らしい。,1,高評価,アプリ,train
141,温度が少し悪くなっているところもあったが、そのほかはボリュームが良く使いやすい。,1,高評価,飲食店,train
142,レビューを見て選んだが、メモアプリを使ってみたが、機能の分かりやすさが期待以上だった。,1,高評価,アプリ,train
143,手触りは決して悪くなく、水筒を選んで良かったと思う。,1,高評価,EC商品,train
144,パソコンは品質も接続の安定性もかなり悪かった。残念だが低評価。,0,低評価,EC商品,train
145,タスク管理アプリは完璧ではなく読み込み速度に難がある。それでも同期機能が優れていて満足度は高い。,1,高評価,アプリ,test
146,スタッフの対応が良くないというレビューもあったが、自分はリゾートホテルに高く評価している。,1,高評価,ホテル,train
147,反応速度には改善してほしい部分があるが、接続の安定性はかなり良く、全体としては気に入った。,1,高評価,EC商品,train
148,一週間ほど試した。恋愛映画は演技は良かったが、構成が悪く、総合的には不満が残った。,0,低評価,映画,validation
149,ゲストハウスはスタッフの対応で気になる点もあった。しかし防音が良く、結果的には買って良かった。,1,高評価,ホテル,train
150,定食屋を使ってみたが、提供の早さが期待以上だった。,1,高評価,飲食店,test
151,脚本がとても良かったので、犯罪映画をまた利用したい。,1,高評価,映画,train
152,店内の清潔さは少し悪かったものの、立地が期待以上だったのでケーキ店には高評価を付けたい。,1,高評価,飲食店,train
153,今回初めて利用した。ネジ穴の精度に大きな不満はなく、タブレットを選んで正解だった。,1,高評価,EC商品,train
154,伏線が少し悪くなっているところもあったが、そのほかは映像が良く使いやすい。,1,高評価,映画,train
155,カレンダーアプリは広告の少なさに良い点もあった。しかしレスポンスに問題があり、結果的にはおすすめしにくい。,0,低評価,アプリ,train
156,戦争映画は値段以上の価値を感じた。特に映像が素晴らしい。,1,高評価,映画,train
157,デザインに大きな不満はなく、工具セットを選んで正解だった。,1,高評価,EC商品,train
158,席の広さに問題があり、さらに食材の新鮮さにも不満がある。洋食店はもう選ばない。,0,低評価,飲食店,train
159,伏線が想像より悪く、冒険映画には低評価を付けたい。,0,低評価,映画,train
160,観光ホテルは最初チェックアウトが気になったが、使い続けると清掃の良さが分かり、今は満足している。,1,高評価,ホテル,train
161,手触りは魅力的だったが、ネジ穴の精度がかなり残念で、全体としては満足できなかった。,0,低評価,EC商品,validation
162,安定性が想像より良く、家計簿アプリには高評価を付けたい。,1,高評価,アプリ,validation
163,世界観に大きな不満はなく、ドラマ映画を選んで正解だった。,1,高評価,映画,validation
164,パソコンはコストパフォーマンスは良かったが、デザインが悪く、総合的にはかなり残念だった。,0,低評価,EC商品,train
165,立地には改善してほしい部分があるが、価格はかなり良く、全体としては気に入った。,1,高評価,飲食店,train
166,今回初めて利用した。演技は少し悪かったものの、ストーリーが期待以上だったのでサスペンス映画には高評価を付けたい。,1,高評価,映画,train
167,評判が良かったので試した。清掃に不満があり、格安ホテルを選んだのは失敗だった。,0,低評価,ホテル,train
168,通知機能が残念だったので、地図アプリはもう利用したくない。,0,低評価,アプリ,train
169,テーマが少し悪くなっているところもあったが、そのほかは演技が良く使いやすい。,1,高評価,映画,train
170,ドリンクは予想以上だったが、そのほかは店内の清潔さが使いにくく不満が残った。,0,低評価,飲食店,test
171,ホラー映画は完璧ではなく迫力に難がある。それでもテーマが優れていて満足度は高い。,1,高評価,映画,train
172,ファミレスは値段に見合わない。特にスタッフの対応に問題があった。,0,低評価,飲食店,test
173,実際に使ってみると、恋愛映画は世界観で気になる点もあった。しかし余韻が良く、結果的には買って良かった。,1,高評価,映画,test
174,実際に使ってみると、ネジ穴の精度がとても良かったので、バッグをまた利用したい。,1,高評価,EC商品,train
175,安定性には満足したものの、画面の見やすさが期待外れだったので予約アプリには低評価を付けたい。,0,低評価,アプリ,train
176,最初の印象では、ホテルの価格は良くない。期待していただけに残念だった。,0,低評価,ホテル,train
177,チェックアウトが想像より良く、旅館には高評価を付けたい。,1,高評価,ホテル,train
178,ケーキ店は値段以上の価値を感じた。特に店内の清潔さが素晴らしい。,1,高評価,飲食店,train
179,音楽アプリは設定画面で気になる点もあった。しかし操作性が良く、結果的には買って良かった。,1,高評価,アプリ,train
180,香りがとても良かったので、寿司店をまた利用したい。,1,高評価,飲食店,train
181,リゾートは静かさが不安定で、かなりストレスを感じた。,0,低評価,ホテル,train
182,チャットアプリは高くないわけではないが、操作性を考えると納得できる。,1,高評価,アプリ,validation
183,定食屋は香りも料理の味もかなり悪かった。残念だが低評価。,0,低評価,飲食店,train
184,しばらく利用した結果、デザインは決して悪くなく、ヘッドホンを選んで良かったと思う。,1,高評価,EC商品,train
185,今回初めて利用した。温泉ホテルを使ってみたが、フロント対応が期待外れだった。,0,低評価,ホテル,train
186,使いやすさは魅力的だったが、組み立てやすさがかなり残念で、全体としては満足できなかった。,0,低評価,EC商品,test
187,ファミレスを使ってみたが、メニューの豊富さが期待以上だった。,1,高評価,飲食店,test
188,何度か利用してみた。リゾートホテルは期待に応えてくれなかった。フロント対応にも満足できない。,0,低評価,ホテル,train
189,ステーキ店は接客が悪く、かなり不満が残った。,0,低評価,飲食店,test
190,組み立て家具は値段以上の価値を感じた。特に動作の安定性が素晴らしい。,1,高評価,EC商品,train
191,通知機能は予想以上だったが、そのほかは安定性が使いにくく納得できなかった。,0,低評価,アプリ,train
192,最初の印象では、館内設備が残念だったので、和風旅館はもう利用したくない。,0,低評価,ホテル,validation
193,喫茶店は完璧ではなく接客に難がある。それでもドリンクが優れていて満足度は高い。,1,高評価,飲食店,train
194,操作性は予想以上だったが、そのほかは画面の見やすさが使いにくく不満が残った。,0,低評価,アプリ,test
195,一週間ほど試した。価格に不満があり、リゾートを選んだのは失敗だった。,0,低評価,ホテル,train
196,中華料理店は安くないのに、接客がこの程度では納得できない。,0,低評価,飲食店,train
197,スポーツ映画は値段に見合わない。特に構成に問題があった。,0,低評価,映画,train
198,何度か利用してみた。洋食店は立地に良い点もあった。しかし雰囲気に問題があり、結果的にはおすすめしにくい。,0,低評価,飲食店,train
199,収納棚は耐久性も動作の安定性も非常に良かった。文句なしで高評価。,1,高評価,EC商品,train
200,梱包は決して悪くなく、バッグを選んで良かったと思う。,1,高評価,EC商品,train
201,最初の印象では、家族向け映画は期待以上。ラストとアクションのどちらも使いやすく、とても気に入った。,1,高評価,映画,train
202,期待して購入した。サスペンス映画のテンポは悪くない。むしろ使ってみるとかなり満足できた。,1,高評価,映画,train
203,ドキュメンタリー映画は演出は良かったが、音楽が悪く、総合的には不満が残った。,0,低評価,映画,validation
204,最初の印象では、サスペンス映画は安くないのに、世界観がこの程度では納得できない。,0,低評価,映画,validation
205,そば屋は完璧ではなく提供の早さに難がある。それでもメニューの豊富さが優れていて満足度は高い。,1,高評価,飲食店,validation
206,部屋の清潔さが全く使えないわけではないが、ゲストハウスを高く評価するほどではない。,0,低評価,ホテル,train
207,格安ホテルを使ってみたが、清掃が期待以上だった。,1,高評価,ホテル,train
208,期待して購入した。音質が残念だったので、充電器はもう利用したくない。,0,低評価,EC商品,train
209,最初の印象では、演出が残念だったので、ホラー映画はもう利用したくない。,0,低評価,映画,test
210,今回初めて利用した。椅子は操作感に少し不満があったが、反応速度は良く、総合的には満足している。,1,高評価,EC商品,train
211,リゾートは最初浴場が気になったが、使い続けると館内設備の良さが分かり、今は満足している。,1,高評価,ホテル,train
212,評判が良かったので試した。工具セットは品質は良かったが、軽さが悪く、総合的には不満が残った。,0,低評価,EC商品,train
213,デスクは完璧ではなく接続の安定性に難がある。それでも音質が優れていて満足度は高い。,1,高評価,EC商品,train
214,カプセルホテルは部屋の広さが安定していて、ストレスなく使えた。,1,高評価,ホテル,validation
215,実際に使ってみると、家族向け映画は高くないわけではないが、脚本を考えると納得できる。,1,高評価,映画,train
216,注文のしやすさには満足したものの、盛り付けが期待外れだったのでファミレスには低評価を付けたい。,0,低評価,飲食店,train
217,ドリンクが全く使えないわけではないが、喫茶店を高く評価するほどではない。,0,低評価,飲食店,train
218,一週間ほど試した。サスペンス映画は値段以上の価値を感じた。特に迫力が素晴らしい。,1,高評価,映画,train
219,ベッドの快適さが良くないというレビューもあったが、自分は温泉ホテルに満足している。,1,高評価,ホテル,train
220,盛り付けがとても良かったので、うどん店をまた利用したい。,1,高評価,飲食店,train
221,ケーブルはコストパフォーマンスに良い点もあった。しかし耐久性に問題があり、結果的にはおすすめしにくい。,0,低評価,EC商品,train
222,スピーカーの使いやすさは良くない。期待していただけに残念だった。,0,低評価,EC商品,train
223,部屋の広さが少し悪くなっているところもあったが、そのほかはアメニティが良く使いやすい。,1,高評価,ホテル,validation
224,期待して購入した。音質に不満があり、モニターを選んだのは失敗だった。,0,低評価,EC商品,train
225,実際に使ってみると、ラストが想像より悪く、ミステリー映画には低評価を付けたい。,0,低評価,映画,validation
226,短編映画は音楽に良い点もあった。しかし会話に問題があり、結果的にはおすすめしにくい。,0,低評価,映画,validation
227,説明書に不満があり、スピーカーを選んだのは失敗だった。,0,低評価,EC商品,train
228,手触りに不満があり、掃除機を選んだのは失敗だった。,0,低評価,EC商品,train
229,サスペンス映画は映像が悪く、かなり不満が残った。,0,低評価,映画,train
230,民宿を使ってみたが、スタッフの対応が期待以上だった。,1,高評価,ホテル,test
231,水筒は一見良さそうで静音性も悪くない。それでも反応速度がひどく、次は選ばない。,0,低評価,EC商品,validation
232,組み立て家具は期待以上。操作感と音質のどちらも使いやすく、とても気に入った。,1,高評価,EC商品,validation
233,ミステリー映画は期待に応えてくれなかった。構成にも満足できない。,0,低評価,映画,validation
234,評判が良かったので試した。カレンダーアプリのバッテリー消費は良くない。期待していただけに残念だった。,0,低評価,アプリ,train
235,冒険映画は一見良さそうで声優も悪くない。それでも世界観がひどく、次は選ばない。,0,低評価,映画,train
236,立地は決して良いとは言えず、ラーメン店には不満が残った。,0,低評価,飲食店,test
237,会話がとても良かったので、ファンタジー映画をまた利用したい。,1,高評価,映画,train
238,SF映画は演技が悪く、かなり不満が残った。,0,低評価,映画,train
239,余韻がとても良かったので、家族向け映画をまた利用したい。,1,高評価,映画,train
240,温度は魅力的だったが、立地がかなり残念で、全体としては満足できなかった。,0,低評価,飲食店,validation
241,館内設備には改善してほしい部分があるが、朝食はかなり良く、全体としては気に入った。,1,高評価,ホテル,train
242,価格が残念だったので、格安ホテルはもう利用したくない。,0,低評価,ホテル,train
243,家族向け映画はテーマも演出も非常に良かった。文句なしで高評価。,1,高評価,映画,test
244,最初の印象では、翻訳アプリは値段に見合わない。特に安定性に問題があった。,0,低評価,アプリ,train
245,期待して購入した。収納棚は完璧ではなく使いやすさに難がある。それでも組み立てやすさが優れていて満足度は高い。,1,高評価,EC商品,test
246,喫茶店を使ってみたが、待ち時間が期待以上だった。,1,高評価,飲食店,train
247,映像美には改善してほしい部分があるが、余韻はかなり良く、全体としては気に入った。,1,高評価,映画,train
248,しばらく利用した結果、ケーブルを使ってみたが、説明書が期待以上だった。,1,高評価,EC商品,train
249,動作の安定性が少し悪くなっているところもあったが、そのほかは耐久性が良く使いやすい。,1,高評価,EC商品,validation
250,期待して購入した。スタッフの対応には改善してほしい部分があるが、フロント対応はかなり良く、全体としては気に入った。,1,高評価,ホテル,train
251,期待して購入した。喫茶店は注文のしやすさに少し不満があったが、盛り付けは良く、総合的には満足している。,1,高評価,飲食店,train
252,ミステリー映画の演技は良くない。期待していただけに残念だった。,0,低評価,映画,train
253,実際に使ってみると、予約アプリは動作速度が安定していて、ストレスなく使えた。,1,高評価,アプリ,train
254,画面の見やすさが残念だったので、読書アプリはもう利用したくない。,0,低評価,アプリ,train
255,パン屋は盛り付けが悪く、かなり不満が残った。,0,低評価,飲食店,train
256,イタリアンは一見良さそうで雰囲気も悪くない。それでもボリュームがひどく、次は選ばない。,0,低評価,飲食店,train
257,品質が想像より悪く、スマートフォンには低評価を付けたい。,0,低評価,EC商品,train
258,ネジ穴の精度が残念だったので、掃除機はもう利用したくない。,0,低評価,EC商品,train
259,音質が素晴らしく、さらにバッテリー持ちにも満足した。スピーカーをまた選びたい。,1,高評価,EC商品,train
260,ラーメン店は提供の早さが安定していて、ストレスなく使えた。,1,高評価,飲食店,validation
261,接客が少し悪くなっているところもあったが、そのほかは待ち時間が良く使いやすい。,1,高評価,飲食店,test
262,実際に使ってみると、ケーブルはバッテリー持ちが不安定で、かなりストレスを感じた。,0,低評価,EC商品,train
263,空調が残念だったので、観光ホテルはもう利用したくない。,0,低評価,ホテル,train
264,何度か利用してみた。恋愛映画は迫力で気になる点もあった。しかし演技が良く、結果的には買って良かった。,1,高評価,映画,train
265,声優には改善してほしい部分があるが、会話はかなり良く、全体としては気に入った。,1,高評価,映画,validation
266,宿泊施設は一見良さそうで空調も悪くない。それでも静かさがひどく、次は選ばない。,0,低評価,ホテル,train
267,清掃が想像より良く、民宿には高評価を付けたい。,1,高評価,ホテル,validation
268,サスペンス映画はアクションが良く、かなり満足している。,1,高評価,映画,train
269,検索精度が素晴らしく、さらに検索機能にも満足した。音楽アプリをまた選びたい。,1,高評価,アプリ,train
270,充電器は頑丈さが悪く、かなり納得できなかった。,0,低評価,EC商品,test
271,収納棚は一見良さそうで音質も悪くない。それでもサイズ感がひどく、次は選ばない。,0,低評価,EC商品,train
272,サイズ感が想像より悪く、イヤホンには低評価を付けたい。,0,低評価,EC商品,train
273,タブレットを使ってみたが、コストパフォーマンスが期待以上だった。,1,高評価,EC商品,train
274,カレンダーアプリはバッテリー消費も同期機能もかなり悪かった。残念だが低評価。,0,低評価,アプリ,train
