id,text,label,sentiment,domain,split
63,イタリアンは値段に見合わない。特に接客がひどかった。,0,低評価,飲食店,validation
64,食材の新鮮さに満足した。カレー店を選んで正解だったと思う。,1,高評価,飲食店,train
65,実際に使ってみると、期待していなかったが、民宿はベッドの快適さが予想以上で驚いた。 また使いたいと思う。,1,高評価,ホテル,train
66,一週間ほど試した。温泉旅館は値段に見合わない。特に静かさがひどかった。 低評価にしたい。,0,低評価,ホテル,train
67,期待していなかったが、地図アプリはデザインが予想以上で驚いた。,1,高評価,アプリ,train
68,空港ホテルは全体的に使いにくく、スタッフの対応も残念だった。,0,低評価,ホテル,train
69,音質が想像より残念だった。次回はマウスを選ばないと思う。,0,低評価,EC商品,train
70,水筒は悪くないと思っていたが、コストパフォーマンスがかなり残念だった。 総合的には不満が残る。,0,低評価,EC商品,train
71,立地が想像より満足できた。次回もビジネスホテルを選びたい。 また使いたいと思う。,1,高評価,ホテル,train
72,恋愛映画は悪くないどころか、音楽がかなり良かった。,1,高評価,映画,train
73,友人の勧めで試してみた。音楽が想像より良かった。次回も冒険映画を選びたい。,1,高評価,映画,train
74,メモアプリは悪くないと思っていたが、機能の分かりやすさがかなり残念だった。,0,低評価,アプリ,test
75,期待していたのに、掃除機は操作感が予想以下でがっかりした。 次は選ばないと思う。,0,低評価,EC商品,test
76,細かい欠点はあるものの、うどん店は総合的にスタッフの対応が良く高評価にしたい。,1,高評価,飲食店,train
77,しばらく利用した結果、アクション映画は値段以上の価値を感じた。特に世界観が期待以上だった。,1,高評価,映画,train
78,音楽アプリは値段以上の価値を感じた。特に使い勝手が素晴らしい。,1,高評価,アプリ,train
79,今回初めて利用した。水筒は悪くないどころか、耐久性がかなり良かった。,1,高評価,EC商品,train
80,今回初めて利用した。民宿は期待以上だった。スタッフの対応が特に良く、また利用したい。,1,高評価,ホテル,train
81,友人の勧めで試してみた。価格は少し高めだが、動画アプリの使い勝手を考えると十分満足できる。 また使いたいと思う。,1,高評価,アプリ,train
82,雰囲気が良くなかった。ラーメン店を選んだのは失敗だったと思う。,0,低評価,飲食店,train
83,レビューを見て選んだ。パン屋は全体的に使いやすく、店内の清潔さも申し分ない。 総合的には満足している。,1,高評価,飲食店,test
84,デザインが想像より良かった。次回もニュースアプリを選びたい。,1,高評価,アプリ,test
85,スピーカーは全体的に使いやすく、サイズ感も申し分ない。,1,高評価,EC商品,test
86,何度か利用してみた。良いところも少しあったが、イヤホンは軽さが悪かったので不満が残った。,0,低評価,EC商品,validation
87,動作の安定性に満足した。マウスを選んで正解だったと思う。 高評価を付けたい。,1,高評価,EC商品,train
88,期待していたのに、地図アプリはレスポンスが予想以下でがっかりした。 低評価にしたい。,0,低評価,アプリ,train
89,しばらく利用した結果、リゾートホテルはチェックインのスムーズさが安定していてストレスなく使えた。気に入っている。 また使いたいと思う。,1,高評価,ホテル,test
90,バッグは品質が不安定でストレスを感じた。不満がある。,0,低評価,EC商品,test
91,友人の勧めで試してみた。良い点もあるものの、カプセルホテルは総合的にチェックインのスムーズさが悪く低評価にしたい。,0,低評価,ホテル,train
92,画面の見やすさが想像より良かった。次回も予約アプリを選びたい。,1,高評価,アプリ,train
93,良いところも少しあったが、アクション映画は世界観が悪かったので不満が残った。,0,低評価,映画,test
94,期待していなかったが、家計簿アプリは操作性が予想以上で驚いた。,1,高評価,アプリ,train
95,しばらく利用した結果、期待していなかったが、観光ホテルは立地が予想以上で驚いた。,1,高評価,ホテル,train
96,価格が想像より好印象だった。次回も寿司店を選びたい。,1,高評価,飲食店,test
97,スピーカーは全体的に使いやすく、使いやすさも申し分ない。,1,高評価,EC商品,test
98,メニューの豊富さが良くなかった。カフェを選んだのは失敗だったと思う。,0,低評価,飲食店,train
99,友人の勧めで試してみた。動画アプリは期待以上だった。使い勝手が特に良く、また利用したい。 高評価を付けたい。,1,高評価,アプリ,train
100,評判ほど良くなかった。地図アプリは通知機能に問題があり、人には勧めにくい。,0,低評価,アプリ,train
101,部屋の清潔さに満足した。駅前ホテルを選んで正解だったと思う。,1,高評価,ホテル,train
102,実際に使ってみると、冒険映画は全体的に使いやすく、ラストも申し分ない。,1,高評価,映画,train
103,メモアプリは通知機能が不安定でストレスを感じた。不満がある。,0,低評価,アプリ,train
104,友人の勧めで試してみた。良いところも少しあったが、焼肉店は価格が悪かったので不満が残った。 低評価にしたい。,0,低評価,飲食店,train
105,最初は不安だったが、イタリアンは実際に試すと価格が良くて気に入った。,1,高評価,飲食店,train
106,期待していたのに、宿泊施設は眺めが予想以下で期待を下回った。,0,低評価,ホテル,test
107,最初は良さそうに感じたが、チャットアプリは使ってみると操作性が悪くて残念に感じた。,0,低評価,アプリ,train
108,細かい欠点はあるものの、ミステリー映画は総合的にストーリーが良く高評価にしたい。,1,高評価,映画,train
109,イタリアンは値段以上の価値を感じた。特に食材の新鮮さが素晴らしい。,1,高評価,飲食店,train
110,一週間ほど試した。予約アプリは機能の分かりやすさが安定していてストレスなく使えた。納得している。,1,高評価,アプリ,train
111,一週間ほど試した。イタリアンを使ってみたところ、店内の清潔さが不便で満足できなかった。,0,低評価,飲食店,validation
112,ベッドの快適さが良くなかった。リゾートホテルを選んだのは失敗だったと思う。,0,低評価,ホテル,train
113,価格は少し高めだが、寿司店のスタッフの対応を考えると十分満足できる。,1,高評価,飲食店,validation
114,映像が想像より悪かった。次回はドラマ映画を選ばないと思う。,0,低評価,映画,train
115,チェックインのスムーズさが良くなかった。民宿を選んだのは失敗だったと思う。 総合的には不満が残る。,0,低評価,ホテル,train
116,ラストが想像より良かった。次回もドラマ映画を選びたい。,1,高評価,映画,train
117,何度か利用してみた。静かさに満足した。シティホテルを選んで正解だったと思う。,1,高評価,ホテル,train
118,しばらく利用した結果、不満が多く、観光ホテルは館内設備のせいで快適に利用できなかった。,0,低評価,ホテル,train
119,何度か利用してみた。良いところも少しあったが、チャットアプリは検索機能が悪かったので不満が残った。,0,低評価,アプリ,train
120,実際に使ってみると、カレー店は悪くないどころか、雰囲気がかなり良かった。,1,高評価,飲食店,train
121,友人の勧めで試してみた。居酒屋は全体的に使いにくく、接客も残念だった。,0,低評価,飲食店,train
122,価格は安いが、ニュースアプリの機能の分かりやすさを考えると満足できない。,0,低評価,アプリ,train
123,実際に使ってみると、スタッフの対応に満足した。ラーメン店を選んで正解だったと思う。,1,高評価,飲食店,train
124,何度か利用してみた。良いところも少しあったが、予約アプリは画面の見やすさが残念だったので不満が残った。,0,低評価,アプリ,test
125,レビューを見て選んだ。最初は良さそうに感じたが、コメディ映画は使ってみると映像が悪くてがっかりした。,0,低評価,映画,validation
126,定食屋は期待以上だった。提供の早さが特に良く、また利用したい。 高評価を付けたい。,1,高評価,飲食店,train
127,大きな不満はなく、ラーメン店は料理の味のおかげで快適に利用できた。,1,高評価,飲食店,train
128,レビューを見て選んだ。期待していたのに、動画アプリは通知機能が予想以下でがっかりした。,0,低評価,アプリ,train
129,イタリアンは全体的に使いやすく、提供の早さも申し分ない。 高評価を付けたい。,1,高評価,飲食店,train
130,レビューを見て選んだ。ストーリーが良くなかった。コメディ映画を選んだのは失敗だったと思う。 総合的には不満が残る。,0,低評価,映画,train
131,今回初めて利用した。通知機能が想像より悪かった。次回は写真アプリを選ばないと思う。,0,低評価,アプリ,train
132,何度か利用してみた。期待していたのに、うどん店は食材の新鮮さが予想以下でがっかりした。,0,低評価,飲食店,test
133,友人の勧めで試してみた。評判ほど良くなかった。モニターは使いやすさに問題があり、人には勧めにくい。,0,低評価,EC商品,train
134,レビューを見て選んだ。ラストが良くなかった。ミステリー映画を選んだのは失敗だったと思う。 次は選ばないと思う。,0,低評価,映画,train
135,評判ほど良くなかった。学習アプリはデザインに問題があり、人には勧めにくい。,0,低評価,アプリ,train
136,期待していなかったが、駅前ホテルはベッドの快適さが予想以上で驚いた。,1,高評価,ホテル,train
137,何度か利用してみた。家計簿アプリは検索機能が安定していてストレスなく使えた。満足している。,1,高評価,アプリ,train
138,良いところも少しあったが、音楽アプリは動作速度が残念だったので不満が残った。,0,低評価,アプリ,validation
139,しばらく利用した結果、チェックインのスムーズさが良くなかった。温泉旅館を選んだのは失敗だったと思う。,0,低評価,ホテル,train
140,しばらく利用した結果、少し気になる点はあったが、冒険映画は音楽が満足できたので満足している。,1,高評価,映画,train
141,不満が多く、ドラマ映画はテンポのせいで快適に利用できなかった。,0,低評価,映画,train
142,宿泊施設は眺めが不安定でストレスを感じた。不満がある。,0,低評価,ホテル,train
143,何度か利用してみた。椅子を使ってみたところ、操作感が便利で満足度は高い。,1,高評価,EC商品,train
144,価格は少し高めだが、カフェの食材の新鮮さを考えると十分満足できる。,1,高評価,飲食店,train
145,期待していなかったが、カレー店はメニューの豊富さが予想以上で驚いた。,1,高評価,飲食店,train
146,しばらく利用した結果、コストパフォーマンスが想像より悪かった。次回はキーボードを選ばないと思う。,0,低評価,EC商品,train
147,良いところも少しあったが、リゾートホテルは館内設備が不満だったので不満が残った。,0,低評価,ホテル,train
148,実際に使ってみると、ボリュームが良くなかった。パン屋を選んだのは失敗だったと思う。,0,低評価,飲食店,validation
149,しばらく利用した結果、期待していたのに、ラーメン店はメニューの豊富さが予想以下で期待を下回った。,0,低評価,飲食店,train
150,何度か利用してみた。キャラクターに満足した。冒険映画を選んで正解だったと思う。,1,高評価,映画,train
151,レビューを見て選んだ。音質が想像より残念だった。次回はバッグを選ばないと思う。,0,低評価,EC商品,test
152,レビューを見て選んだ。最初は不安だったが、動画アプリは実際に試すと画面の見やすさが良くて気に入った。,1,高評価,アプリ,train
153,温泉旅館は立地が安定していてストレスなく使えた。満足している。,1,高評価,ホテル,train
154,最初は不安だったが、ドキュメンタリー映画は実際に試すと世界観が良くて気に入った。,1,高評価,映画,train
155,不満が多く、民宿は眺めのせいで快適に利用できなかった。,0,低評価,ホテル,train
156,ビジネスホテルは全体的に使いにくく、浴場も残念だった。,0,低評価,ホテル,train
157,実際に使ってみると、評判ほど良くなかった。写真アプリは使い勝手に問題があり、人には勧めにくい。,0,低評価,アプリ,validation
158,良いところも少しあったが、カフェは食材の新鮮さが悪かったので不満が残った。 低評価にしたい。,0,低評価,飲食店,train
159,寿司店は期待以上だった。料理の味が特に良く、また利用したい。,1,高評価,飲食店,validation
160,一週間ほど試した。少し気になる点はあったが、掃除機は品質が好印象だったので気に入っている。 高評価を付けたい。,1,高評価,EC商品,train
161,冒険映画は悪くないどころか、ストーリーがかなり良かった。,1,高評価,映画,train
162,居酒屋は値段に見合わない。特に接客がひどかった。 総合的には不満が残る。,0,低評価,飲食店,train
163,SF映画を使ってみたところ、テンポが便利で満足度は高い。,1,高評価,映画,train
164,期待していなかったが、居酒屋は料理の味が予想以上で驚いた。,1,高評価,飲食店,train
165,最初は不安だったが、焼肉店は実際に試すと食材の新鮮さが良くて気に入った。,1,高評価,飲食店,train
166,評判ほど良くなかった。空港ホテルは館内設備に問題があり、人には勧めにくい。,0,低評価,ホテル,validation
167,実際に使ってみると、ラーメン店は全体的に使いやすく、スタッフの対応も申し分ない。 また使いたいと思う。,1,高評価,飲食店,train
168,ラストが想像より良かった。次回もアニメ映画を選びたい。 高評価を付けたい。,1,高評価,映画,train
169,民宿は全体的に使いにくく、チェックインのスムーズさも残念だった。 総合的には不満が残る。,0,低評価,ホテル,train
170,レビューを見て選んだ。期待していたのに、焼肉店は接客が予想以下でがっかりした。 総合的には不満が残る。,0,低評価,飲食店,test
171,今回初めて利用した。寿司店を使ってみたところ、スタッフの対応が便利で満足度は高い。,1,高評価,飲食店,train
172,一週間ほど試した。バッグを使ってみたところ、動作の安定性が便利で満足度は高い。,1,高評価,EC商品,validation
173,何度か利用してみた。アニメ映画は期待外れだった。世界観に不満があり、もう利用したくない。,0,低評価,映画,train
174,しばらく利用した結果、ドキュメンタリー映画は期待外れだった。テンポに不満があり、もう利用したくない。,0,低評価,映画,train
175,キーボードはコストパフォーマンスが不安定でストレスを感じた。不満がある。,0,低評価,EC商品,validation
176,チェックインのスムーズさに満足した。カプセルホテルを選んで正解だったと思う。,1,高評価,ホテル,train
177,ラストが良くなかった。ドラマ映画を選んだのは失敗だったと思う。,0,低評価,映画,train
178,一週間ほど試した。良い点もあるものの、焼肉店は総合的に接客が悪く低評価にしたい。,0,低評価,飲食店,train
179,アニメ映画は悪くないどころか、迫力がかなり良かった。 また使いたいと思う。,1,高評価,映画,validation
180,不満が多く、地図アプリは使い勝手のせいで快適に利用できなかった。,0,低評価,アプリ,train
181,一週間ほど試した。テンポが想像より残念だった。次回は恋愛映画を選ばないと思う。,0,低評価,映画,train
182,居酒屋は値段以上の価値を感じた。特に接客が素晴らしい。,1,高評価,飲食店,train
183,不満が多く、焼肉店は接客のせいで快適に利用できなかった。,0,低評価,飲食店,train
184,モニターは値段に見合わない。特に品質がひどかった。 低評価にしたい。,0,低評価,EC商品,train
185,コストパフォーマンスが想像より悪かった。次回は充電器を選ばないと思う。,0,低評価,EC商品,train
186,友人の勧めで試してみた。良い点もあるものの、寿司店は総合的に店内の清潔さが悪く低評価にしたい。,0,低評価,飲食店,train
187,最初は良さそうに感じたが、SF映画は使ってみると映像が悪くてがっかりした。,0,低評価,映画,validation
188,キャラクターが想像より悪かった。次回は冒険映画を選ばないと思う。,0,低評価,映画,train
189,シティホテルは期待外れだった。館内設備に不満があり、もう利用したくない。,0,低評価,ホテル,train
190,細かい欠点はあるものの、温泉旅館は総合的に立地が良く高評価にしたい。,1,高評価,ホテル,train
191,一週間ほど試した。期待していなかったが、アクション映画は世界観が予想以上で驚いた。,1,高評価,映画,train
192,最初は良さそうに感じたが、カフェは使ってみるとメニューの豊富さが悪くてがっかりした。 総合的には不満が残る。,0,低評価,飲食店,train
193,最初は不安だったが、ホラー映画は実際に試すと映像が良くて気に入った。,1,高評価,映画,train
194,品質が想像より良かった。次回もキーボードを選びたい。 高評価を付けたい。,1,高評価,EC商品,train
195,演技に満足した。ドキュメンタリー映画を選んで正解だったと思う。 高評価を付けたい。,1,高評価,映画,test
196,メモアプリは悪くないと思っていたが、レスポンスがかなり残念だった。,0,低評価,アプリ,train
197,リゾートホテルは期待外れだった。朝食に不満があり、もう利用したくない。 次は選ばないと思う。,0,低評価,ホテル,train
198,ボリュームが想像より悪かった。次回は寿司店を選ばないと思う。,0,低評価,飲食店,train
199,マウスを使ってみたところ、操作感が便利で満足度は高い。,1,高評価,EC商品,validation
200,レビューを見て選んだ。世界観が想像より悪かった。次回は冒険映画を選ばないと思う。 次は選ばないと思う。,0,低評価,映画,train
201,何度か利用してみた。SF映画は期待以上だった。迫力が特に良く、また利用したい。,1,高評価,映画,train
202,良い点もあるものの、焼肉店は総合的にメニューの豊富さが悪く低評価にしたい。 総合的には不満が残る。,0,低評価,飲食店,train
203,操作感が想像より悪かった。次回はキーボードを選ばないと思う。,0,低評価,EC商品,train
204,期待していたのに、ビジネスホテルは眺めが予想以下でがっかりした。,0,低評価,ホテル,train
205,不満が多く、ニュースアプリは安定性のせいで快適に利用できなかった。 次は選ばないと思う。,0,低評価,アプリ,train
206,今回初めて利用した。観光ホテルはスタッフの対応が不安定でストレスを感じた。不満がある。,0,低評価,ホテル,train
207,評判どおりだった。充電器は音質が良く、人にも勧めたい。 高評価を付けたい。,1,高評価,EC商品,train
208,価格は安いが、観光ホテルの眺めを考えると満足できない。,0,低評価,ホテル,test
209,リゾートホテルを使ってみたところ、ベッドの快適さが不便で満足できなかった。,0,低評価,ホテル,train
210,ニュースアプリは操作性が安定していてストレスなく使えた。満足している。,1,高評価,アプリ,validation
211,価格は安いが、写真アプリの安定性を考えると満足できない。,0,低評価,アプリ,train
212,友人の勧めで試してみた。コメディ映画は悪くないどころか、演技がかなり良かった。,1,高評価,映画,test
213,今回初めて利用した。細かい欠点はあるものの、うどん店は総合的に料理の味が良く高評価にしたい。 総合的には満足している。,1,高評価,飲食店,train
214,不満が多く、家計簿アプリは画面の見やすさのせいで快適に利用できなかった。,0,低評価,アプリ,test
215,最初は良さそうに感じたが、掃除機は使ってみると操作感が悪くて期待を下回った。 総合的には不満が残る。,0,低評価,EC商品,train
216,眺めが想像より悪かった。次回はカプセルホテルを選ばないと思う。,0,低評価,ホテル,validation
217,友人の勧めで試してみた。SF映画を使ってみたところ、世界観が便利で満足度は高い。,1,高評価,映画,train
218,実際に使ってみると、大きな不満はなく、キーボードはコストパフォーマンスのおかげで快適に利用できた。 また使いたいと思う。,1,高評価,EC商品,test
219,ホラー映画は値段に見合わない。特にキャラクターがひどかった。,0,低評価,映画,train
220,しばらく利用した結果、ビジネスホテルは期待外れだった。浴場に不満があり、もう利用したくない。,0,低評価,ホテル,train
221,宿泊施設は値段に見合わない。特に朝食がひどかった。,0,低評価,ホテル,train
222,イタリアンは接客が不安定でストレスを感じた。不満がある。,0,低評価,飲食店,train
223,価格は少し高めだが、冒険映画の演技を考えると十分満足できる。,1,高評価,映画,train
224,最初は不安だったが、カプセルホテルは実際に試すと静かさが良くて気に入った。,1,高評価,ホテル,test
225,友人の勧めで試してみた。ドキュメンタリー映画は全体的に使いにくく、ストーリーも残念だった。,0,低評価,映画,train
226,温泉旅館は値段に見合わない。特に部屋の清潔さがひどかった。,0,低評価,ホテル,train
227,実際に使ってみると、細かい欠点はあるものの、ドラマ映画は総合的に演出が良く高評価にしたい。,1,高評価,映画,train
228,家計簿アプリは値段に見合わない。特に安定性がひどかった。 低評価にしたい。,0,低評価,アプリ,train
229,細かい欠点はあるものの、イタリアンは総合的に提供の早さが良く高評価にしたい。,1,高評価,飲食店,train
230,地図アプリは値段以上の価値を感じた。特に機能の分かりやすさが期待以上だった。 また使いたいと思う。,1,高評価,アプリ,test
231,今回初めて利用した。動作の安定性が良くなかった。水筒を選んだのは失敗だったと思う。 低評価にしたい。,0,低評価,EC商品,test
232,一週間ほど試した。期待していなかったが、ドラマ映画は映像が予想以上で驚いた。,1,高評価,映画,train
233,実際に使ってみると、期待していなかったが、ホラー映画はストーリーが予想以上で驚いた。,1,高評価,映画,test
234,実際に使ってみると、少し気になる点はあったが、椅子は軽さが好印象だったので満足している。,1,高評価,EC商品,train
235,良い点もあるものの、民宿は総合的に浴場が悪く低評価にしたい。,0,低評価,ホテル,train
236,安定性に満足した。地図アプリを選んで正解だったと思う。,1,高評価,アプリ,validation
237,友人の勧めで試してみた。観光ホテルは悪くないと思っていたが、部屋の清潔さがかなり残念だった。,0,低評価,ホテル,train
238,何度か利用してみた。地図アプリは悪くないどころか、操作性がかなり良かった。,1,高評価,アプリ,validation
239,実際に使ってみると、大きな不満はなく、キーボードは音質のおかげで快適に利用できた。 総合的には満足している。,1,高評価,EC商品,train
240,一週間ほど試した。ニュースアプリは全体的に使いやすく、通知機能も申し分ない。,1,高評価,アプリ,test
241,掃除機は値段以上の価値を感じた。特に使いやすさが素晴らしい。,1,高評価,EC商品,train
242,今回初めて利用した。ドキュメンタリー映画は全体的に使いやすく、演技も申し分ない。,1,高評価,映画,train
243,ドラマ映画はラストが安定していてストレスなく使えた。満足している。,1,高評価,映画,train
244,家計簿アプリは全体的に使いにくく、レスポンスも残念だった。 次は選ばないと思う。,0,低評価,アプリ,train
245,友人の勧めで試してみた。アクション映画は値段に見合わない。特に演出がひどかった。,0,低評価,映画,train
246,実際に使ってみると、メモアプリは期待以上だった。安定性が特に良く、また利用したい。 総合的には満足している。,1,高評価,アプリ,train
247,寿司店を使ってみたところ、価格が便利で満足度は高い。 高評価を付けたい。,1,高評価,飲食店,train
248,期待していたのに、パン屋はメニューの豊富さが予想以下でがっかりした。 次は選ばないと思う。,0,低評価,飲食店,train
249,何度か利用してみた。家計簿アプリは悪くないどころか、レスポンスがかなり好印象だった。,1,高評価,アプリ,train
250,実際に使ってみると、立地に満足した。駅前ホテルを選んで正解だったと思う。,1,高評価,ホテル,train
251,大きな不満はなく、アニメ映画は演技のおかげで快適に利用できた。,1,高評価,映画,validation
252,アクション映画は演出が不安定でストレスを感じた。不満がある。 次は選ばないと思う。,0,低評価,映画,validation
253,今回初めて利用した。不満が多く、動画アプリは検索機能のせいで快適に利用できなかった。,0,低評価,アプリ,train
254,実際に使ってみると、デザインが想像より良かった。次回もイヤホンを選びたい。,1,高評価,EC商品,train
255,しばらく利用した結果、価格は少し高めだが、空港ホテルの浴場を考えると十分満足できる。,1,高評価,ホテル,train
256,演出が想像より不満だった。次回はドラマ映画を選ばないと思う。,0,低評価,映画,train
257,何度か利用してみた。期待していなかったが、寿司店はボリュームが予想以上で驚いた。,1,高評価,飲食店,train
258,価格は少し高めだが、スピーカーのサイズ感を考えると十分満足できる。,1,高評価,EC商品,train
259,大きな不満はなく、学習アプリは機能の分かりやすさのおかげで快適に利用できた。,1,高評価,アプリ,train
260,一週間ほど試した。不満が多く、チャットアプリは機能の分かりやすさのせいで快適に利用できなかった。,0,低評価,アプリ,train
261,良いところも少しあったが、水筒は使いやすさが悪かったので不満が残った。 総合的には不満が残る。,0,低評価,EC商品,train
262,何度か利用してみた。ラーメン店はボリュームが不安定でストレスを感じた。不満がある。,0,低評価,飲食店,validation
263,バッグは悪くないどころか、耐久性がかなり良かった。 また使いたいと思う。,1,高評価,EC商品,train
